name,description,availability,price,discount_price,sku
Vention IT Cable SATA 15P Power Extension 0.3m KDABY,No description available,Out of Stock,€3.80,,vention-it-cable-sata-15p-power-extension-03m-kdaby
Unitek Y-C511G VGA to VGA Cable 1.0m,Cable Type:VGA|Ferrite:Yes|Length:1.0m,Out of Stock,€3.80,,unitek-y-c511g-vga-to-vga-cable-10m
CABLE FASTENER Logilink KAB0039,"Cable mounting with double-sided tape
In Box 10 Cable holders in 3 styles",Out of Stock,€4.00,,cable-fastener-logilink-kab0039
LOGILINK 4pinM to 2x3.5 3pinF ADAPTOR Splitter,"4PIN MALE TO 2X3,5 3pin FEMALE ADAPTERSuitable for connecting headset with the tablet, notebook or PCConnection 1: 4-pin 3.5 mm stereo maleConnection 2: 2x 3-pin stereo femaleGold-plated contactsPlastic housingCable length: 15 cmColor: Black",Out of Stock,€4.00,,logilink-4pinm-to-2x35-3pinf-adaptor-splitter
Power Cable UK plug 1.8 m,"UK plug
fused plug 5A
BSI approved cable
Lenght 1 m",Out of Stock,€4.00,,power-cable-uk-plug-18-m-4035259120113
XILENCE Thermal Grease 1.5g XZ018,Type:XILENCE Thermal Grease 1.5g XZ018,Out of Stock,€4.00,,xilence-thermal-grease-15g-xz018-4044953501067
Armaggeddon SILENT-12 Cooling Fan Black,"Type:Fan 120mm
Connection: Molex",Out of Stock,€4.00,,armaggeddon-silent-12-cooling-fan-black
Inline 33328Y 0.15m PWM FAN CABLE POWER 4-PIN,"PWM fan power y-cable, 4pin. 1M/2F for fan with 4 pin.
PWM connector. Length ~ 0.15m",Out of Stock,€4.00,,inline-33328y-015m-pwm-fan-cable-power-4-pin
2 x Molex to 8 Pin PCIe for Graphics Cards,2 x Molex to 8 Pin PCIe for Graphics Cards,Out of Stock,€4.00,,2-x-molex-to-8-pin-pcie-for-graphics-cards
4 Port USB 2.0 Hub Adapter,"Adapter For PC and Laptop
Number ports: 4
USB 2.0",Out of Stock,€4.00,,4-port-usb-20-hub-adapter
Vention NETWORK Cable CAT6A SFTP 2.0m Grey,"Type:Cat6
Conductor:Copper
Length: 2.0 m
Colour: Grey",Out of Stock,€4.10,,vention-network-cable-cat6a-sftp-20m-grey
Unitek UCE USB-A 3.0 Extension Cable 0.5m Y-C456GBK,Cable Type:USB|USB Type:USB-A to USB-A Extension|USB Version:3.0|Length:0.5m,Out of Stock,€4.27,,unitek-uce-usb-a-30-extension-cable-05m-y-c456gbk
Unitek Y-C417GBK USB-A Male to USB-A Female Extension...,Cable Type:USB|USB Type:USB-A to USB-A Extension|USB Version:2.0|Length:3.0m,Out of Stock,€4.27,,unitek-y-c417gbk-usb-a-male-to-usb-a-female-extension-cable-3m
Lanberg AD-0010-BK HDMI(F) to DVI-D(M)(24+1) Dual Link...,Input:DVI-D|Type:HDMI to DVI-D|HDMI Output:Yes,Out of Stock,€4.27,,lanberg-ad-0010-bk-hdmif-to-dvi-dm241-dual-link-adapter
Unitek C1896BK-0.5M CAT6 M-F Extension Cable 0.5m,Type:Cat6|Conductor:Copper|Length:0.5m|Colour:Black,Out of Stock,€4.37,,unitek-c1896bk-05m-cat6-m-f-extension-cable-05m
Mercury Fig8 Power Cable 2.0m Bag 114.035UK,Type:Figure8|Length:2.0m,Out of Stock,€4.40,,mercury-fig8-power-cable-20m-bag-114035uk-5015972178010
Mercury IEC Lead 1.0m Bag 114.003UK,Type:IEC|Length:1.0m,Out of Stock,€4.41,,mercury-iec-lead-10m-bag-114003uk
Techlink iWires 3.5mm to 2RCA 1.0m 710021,Type:3.5mm to 2RCA|Length:1.0m,Out of Stock,€4.49,,techlink-iwires-35mm-to-2rca-10m-710021
Techlink iWires 3.5mm to 3.5mm 1.5m 710026,Type:3.5mm to 3.5mm|Length:1.5m,Out of Stock,€4.49,,techlink-iwires-35mm-to-35mm-15m-710026
Unitek HC HDMI 2.0 Cable 0.5m Y-C185M,Type:HDMI|Length:0.5m|Version:2.0,Out of Stock,€4.49,,unitek-hc-hdmi-20-cable-05m-y-c185m
Unitek Y-C956ABK 3.5mm Headphone Splitter Cable 1.5m,Length:1.5m,Out of Stock,€4.50,,unitek-y-c956abk-35mm-headphone-splitter-cable-15m
